`artistID`|`artistName`|`artistNo`|`trackID`
`68kEuyFKyqrdQQLLsmiatm`|`Vince Staples`|0|`5POEFQCKtD0QxYLfZ2kqEx`
`74XFHRwlV6OrjEM0A2NCMF`|`Paramore`|0|`1yjY7rpaAQvKwpdUliHx0d`
`23fqKkggKUBHNkbKtXEls4`|`Kygo`|0|`2UxfcZJCphbEkfbZ6nLiDx`
`79QO0Xmn1dZhvaLicS2Yrs`|`The Night Game`|1|`2UxfcZJCphbEkfbZ6nLiDx`
`64KEffDW9EtZ1y2vBYgq8T`|`Marshmello`|0|`6TdweeWiGv35hKXn3tARjA`
`0Aemly9h57T2sLKpkNq409`|`LOOPERS`|0|`5qvGIVwLPiqAyJuohXwvSM`
`23fqKkggKUBHNkbKtXEls4`|`Kygo`|0|`41W4YKwP7DPxoplPA2U0PW`
`4QAp87iZerUP9PKxtLhmW1`|`Oliver Nelson`|1|`41W4YKwP7DPxoplPA2U0PW`
`7dtJROxWQe3fxxF5t7o67N`|`Bonnie McKee`|2|`41W4YKwP7DPxoplPA2U0PW`
`0C8ZW7ezQVs4URX5aX7Kqx`|`Selena Gomez`|0|`0tBbt8CrmxbjRP0pueQkyU`
`64KEffDW9EtZ1y2vBYgq8T`|`Marshmello`|1|`0tBbt8CrmxbjRP0pueQkyU`
`64KEffDW9EtZ1y2vBYgq8T`|`Marshmello`|0|`7vGuf3Y35N4wmASOKLUVVU`
`6LuN9FCkKOj5PcnpouEgny`|`Khalid`|1|`7vGuf3Y35N4wmASOKLUVVU`
`67hb7towEyKvt5Z8Bx306c`|`Empire of the Sun`|0|`0CFDp4qPqkbFObEH3p45x3`
`6DIS6PRrLS3wbnZsf7vYic`|`WALK THE MOON`|0|`3YQ96qkxiEwTLwgu2Izcmq`
`2mV8aJphiSHYJf43DxL7Gt`|`Chromeo`|0|`7dlwZmyBmzUbhDsgiXHGMW`
`36QJpDe2go2KgaRleHCDTp`|`Led Zeppelin`|0|`78lgmZwycJ3nzsdgmPPGNx`
`4CTKqs11Zgsv8EZTVzx764`|`Lemaitre`|0|`3h5IIiL9vK5aR0DZO6jD7D`
`2bx0ckgYnvvFPzDlGpupN2`|`Jennie A.`|1|`3h5IIiL9vK5aR0DZO6jD7D`
`5fMUXHkw8R8eOP2RNVYEZX`|`Diplo`|0|`4utgozKpeqZA18lFCcg70Q`
`0bdfiayQAKewqEvaU6rXCv`|`MØ`|1|`4utgozKpeqZA18lFCcg70Q`
`1lSoVfWwjKoGadIT3tlYRg`|`Matt Watkins`|0|`4QxC6CwjknnEv3pmdDflqY`
`0tEm6u2jTuHwpF6NtI3p7K`|`Nheon`|1|`4QxC6CwjknnEv3pmdDflqY`
`4hW4aa5Qgw9sgPMQesH64h`|`Jack Knight`|2|`4QxC6CwjknnEv3pmdDflqY`
`0jnsk9HBra6NMjO2oANoPY`|`Flo Rida`|0|`6ayTAnEwP3Yo4DOjLsN5r2`
`1r4hJ1h58CWwUQe3MxPuau`|`Maluma`|1|`6ayTAnEwP3Yo4DOjLsN5r2`
`3cWOwptrfEuGMJ2cM7ipc3`|`KLP`|0|`1ZvykrNUPMZ4cNwGTcK5NB`
`6BrvowZBreEkXzJQMpL174`|`Hardwell`|0|`2B8eAzF1rlTOLynq5zgXsG`
`03MVmfitJTVJIxYmObhQn9`|`Dyro`|1|`2B8eAzF1rlTOLynq5zgXsG`
`2AoeqcUs8DySgZRJ9yV4Ou`|`Bright Lights`|2|`2B8eAzF1rlTOLynq5zgXsG`
`4kI8Ie27vjvonwaB2ePh8T`|`Portugal. The Man`|0|`4yeWP0EabOteKT2MzPyeJ8`
`2ZRQcIgzPCVaT9XKhXZIzh`|`Gryffin`|1|`4yeWP0EabOteKT2MzPyeJ8`
`4nDoRrQiYLoBzwC5BhVJzF`|`Camila Cabello`|0|`0ofbQMrRDsUaVKq2mGLEAb`
`50co4Is1HCEo8bhOyUWKpn`|`Young Thug`|1|`0ofbQMrRDsUaVKq2mGLEAb`
`21mKp7DqtSNHhCAU2ugvUw`|`ODESZA`|0|`6oNZ0WxqptE7V0qpjtyJ4a`
`4xnihxcoXWK3UqryOSnbw5`|`Sasha Sloan`|1|`6oNZ0WxqptE7V0qpjtyJ4a`
`6bA8L82JXU9CQa2nyUnLDh`|`Lulleaux`|0|`2IQB5iBapo0Y37Yc0PtIZc`
`6OxNVd9jJ2IbNrOjHdcpJZ`|`Giang Pham`|1|`2IQB5iBapo0Y37Yc0PtIZc`
`0bq4n0hc3bUfuqIFU79sBC`|`Lucy Neville`|0|`3FCQTUlUHhSKjo6CLF2DhF`
`1Cs0zKBU1kc0i8ypK3B9ai`|`David Guetta`|0|`0tPQPaOKM32WgMSbPCYyRH`
`4D75GcNG95ebPtNvoNVXhz`|`Afrojack`|1|`0tPQPaOKM32WgMSbPCYyRH`
`25uiPmTg16RbhZWAqwLBy5`|`Charli XCX`|2|`0tPQPaOKM32WgMSbPCYyRH`
`6vXTefBL93Dj5IqAWq6OTv`|`French Montana`|3|`0tPQPaOKM32WgMSbPCYyRH`
`69GGBxA162lTqCwzJG5jLp`|`The Chainsmokers`|0|`50RJdoxw8iajGNtHQe6QeS`
`4gzpq5DPGxSnKTe4SA8HAU`|`Coldplay`|1|`50RJdoxw8iajGNtHQe6QeS`
`4AVFqumd2ogHFlRbKIjp1t`|`Alesso`|2|`50RJdoxw8iajGNtHQe6QeS`
`41rVuRHYAiH7ltBTHVR9We`|`Slushii`|0|`7ppz0b5ecGXM8xHg5yGDhK`
`5KtyvSnzn6NcqukCOsjfe0`|`Madi`|1|`7ppz0b5ecGXM8xHg5yGDhK`
`586uxXMyD5ObPuzjtrzO1Q`|`Sofi Tukker`|0|`1Cicn7ce1xoVlq8gthE2eX`
`4j5KBTO4tk7up54ZirNGvK`|`NERVO`|1|`1Cicn7ce1xoVlq8gthE2eX`
`2x7EATekOPhFGRx3syMGEC`|`The Knocks`|2|`1Cicn7ce1xoVlq8gthE2eX`
`0WuYfDB2hAYzybfAd75fvb`|`ALISA UENO`|3|`1Cicn7ce1xoVlq8gthE2eX`
`4uiMn2g0pgTrhN096QJhbp`|`Borgeous`|0|`3pVUqDd3Utc7CMDo06psdG`
`27feHJH3VKyk8FgOndiWU8`|`Taylr Renee`|1|`3pVUqDd3Utc7CMDo06psdG`
`521qvhdobR0GzhvU6TFw76`|`Tritonal`|0|`2ULg8Cw0Ckn5JDGUkCNXko`
`3kBTda7vNOOAA2Tu5uD13Y`|`Sj`|1|`2ULg8Cw0Ckn5JDGUkCNXko`
`3M9RgTC9FowQjSgi7MCsof`|`Emma Gatsby`|2|`2ULg8Cw0Ckn5JDGUkCNXko`
`1LOB7jTeEV14pHai6EXSzF`|`Cash Cash`|0|`2PSeBKFabj27ud497FxQQy`
`4ERtgeBbWRkFzIz6LaFCeY`|`Dashboard Confessional`|1|`2PSeBKFabj27ud497FxQQy`
`4uiMn2g0pgTrhN096QJhbp`|`Borgeous`|0|`1R6SFQVLcAe3Og6NA83fGR`
`0Ye4nfYAA91T1X56gnlXAA`|`Mako`|0|`28cKwj13J7ZVbszs9xvJzX`
`2kRfqPViCqYdSGhYSM9R0Q`|`Madison Beer`|1|`28cKwj13J7ZVbszs9xvJzX`
`3hyEbRtp617pNCuuQjyOmc`|`Lost Kings`|2|`28cKwj13J7ZVbszs9xvJzX`
`1N9n8MSxrr4Emhb566493b`|`Morgan Page`|0|`0y6DEVHdhyAk5uS5d25Wue`
`5KTVBYvHhoIUMMv3o8ZILZ`|`Stella Rio`|1|`0y6DEVHdhyAk5uS5d25Wue`
`3Woqe3KegExVyrEK1I6ITJ`|`Damon Sharpe`|2|`0y6DEVHdhyAk5uS5d25Wue`
`1BAdSa5cdtCNLbvT7gWmtJ`|`Conro`|0|`0cPsHxvuICaPKmWRFCRe1i`
`23fqKkggKUBHNkbKtXEls4`|`Kygo`|0|`3nTIvcfFkFEUL4cdMaEt5H`
`34v5MVKeQnIo0CWYMbbrPf`|`John Newman`|1|`3nTIvcfFkFEUL4cdMaEt5H`
`4WN5naL3ofxrVBgFpguzKo`|`Rudimental`|0|`7B6nkopZHag6tx2peZE0Hn`
`4bUqnkrDrb4f7rqmDR9yDu`|`Foy Vance`|1|`7B6nkopZHag6tx2peZE0Hn`
`1l2ekx5skC4gJH8djERwh1`|`Don Diablo`|2|`7B6nkopZHag6tx2peZE0Hn`
`5T0MSzX9RC5NA6gAI6irSn`|`Estelle`|0|`41on8RwRh22IHcChAN2gm8`
